"1011Apr0022 Modulex White Modulex Tile 1 x 1 with Black 'V' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0023 Modulex White Modulex Tile 1 x 1 with Black 'X' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0024 Modulex White Modulex Tile 1 x 1 with Black 'Y' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0025 Modulex White Modulex Tile 1 x 1 with Black 'Z' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0026 Modulex White Modulex Tile 1 x 1 with Black 'Ä' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0027 Modulex White Modulex Tile 1 x 1 with Black 'Å' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0028 Modulex White Modulex Tile 1 x 1 with Black 'Æ' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0029 Modulex White Modulex Tile 1 x 1 with Black 'Ö' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0030 Modulex White Modulex Tile 1 x 1 with Black '0' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0031 Modulex White Modulex Tile 1 x 1 with Black '1' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0032 Modulex White Modulex Tile 1 x 1 with Black '2' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0033 Modulex White Modulex Tile 1 x 1 with Black '3' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0034 Modulex White Modulex Tile 1 x 1 with Black '4' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0035 Modulex White Modulex Tile 1 x 1 with Black '5' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0036 Modulex White Modulex Tile 1 x 1 with Black '6/9' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0037 Modulex White Modulex Tile 1 x 1 with Black '7' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0038 Modulex White Modulex Tile 1 x 1 with Black '8' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0039 Modulex White Modulex Tile 1 x 1 with Black 'Ø' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0041 Modulex White Modulex Tile 1 x 1 with Thin Red '0' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0042 Modulex White Modulex Tile 1 x 1 with Thin Red '1' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0044 Modulex White Modulex Tile 1 x 1 with Thin Red '3' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0045 Modulex White Modulex Tile 1 x 1 with Thin Red '4' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0046 Modulex White Modulex Tile 1 x 1 with Thin Red '5' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0047 Modulex White Modulex Tile 1 x 1 with Thin Red '6' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0048 Modulex White Modulex Tile 1 x 1 with Thin Red '7' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0049 Modulex White Modulex Tile 1 x 1 with Thin Red '8' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0050 Modulex White Modulex Tile 1 x 1 with Thin Red '9' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0051 Modulex White Modulex Tile 1 x 1 with Red '0' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0052 Modulex White Modulex Tile 1 x 1 with Red '1' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0053 Modulex White Modulex Tile 1 x 1 with Red '2' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0054 Modulex White Modulex Tile 1 x 1 with Red '3' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0055 Modulex White Modulex Tile 1 x 1 with Red '4' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
